name:鲁抗医药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:38.5% 流通市值:71.27亿,
name:海欣股份 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:12.77% 流通市值:52.78亿,
name:四会富仕 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:14.67% 流通市值:22.42亿,
name:超频三 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:18.73% 流通市值:30.34亿,
name:联明股份 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:49.11% 流通市值:24.82亿,
name:阳谷华泰 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:23.1% 流通市值:37.28亿,
name:兆丰股份 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:21.87% 流通市值:39亿,
name:英飞拓 日期:2023/10/23 0:00:00 diverTimes:6 涨幅:27.34% 流通市值:90.31亿,
name:新和成 日期:2023/10/23 0:00:00 diverTimes:6 涨幅:10.77% 流通市值:518.97亿,
name:新亚电子 日期:2023/10/23 0:00:00 diverTimes:10 涨幅:24.38% 流通市值:17.13亿,
name:金字火腿 日期:2023/10/23 0:00:00 diverTimes:7 涨幅:18.78% 流通市值:50.5亿,
name:广哈通信 日期:2023/10/23 0:00:00 diverTimes:7 涨幅:10.94% 流通市值:35.18亿,
name:宿迁联盛 日期:2023/10/23 0:00:00 diverTimes:8 涨幅:26.22% 流通市值:5.99亿,
name:大西洋 日期:2023/10/20 0:00:00 diverTimes:9 涨幅:18.72% 流通市值:37.52亿,
name:大西洋 日期:2023/10/20 0:00:00 diverTimes:9 涨幅:18.72% 流通市值:451.58亿,
name:凯发电气 日期:2023/10/20 0:00:00 diverTimes:8 涨幅:12.73% 流通市值:20.44亿,
name:海昌新材 日期:2023/10/20 0:00:00 diverTimes:9 涨幅:20.86% 流通市值:25.73亿,
name:加加食品 日期:2023/10/20 0:00:00 diverTimes:7 涨幅:12.89% 流通市值:49.88亿,
name:康平科技 日期:2023/10/19 0:00:00 diverTimes:8 涨幅:10.01% 流通市值:21.37亿,
name:理工光科 日期:2023/10/19 0:00:00 diverTimes:6 涨幅:9.32% 流通市值:25.17亿,
name:飞马国际 日期:2023/10/19 0:00:00 diverTimes:6 涨幅:2.56% 流通市值:52.16亿,
name:三花智控 日期:2023/10/18 0:00:00 diverTimes:6 涨幅:7.07% 流通市值:1051.31亿,
name:华纬科技 日期:2023/10/18 0:00:00 diverTimes:7 涨幅:20.7% 流通市值:11.51亿,
name:泰福泵业 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:15.64% 流通市值:9.52亿,
name:华谊兄弟 日期:2023/10/17 0:00:00 diverTimes:9 涨幅:11.11% 流通市值:67.46亿,
name:开普检测 日期:2023/10/17 0:00:00 diverTimes:6 涨幅:10.92% 流通市值:16.33亿,
name:科远智慧 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:4.64% 流通市值:26.48亿,
name:东贝集团 日期:2023/10/17 0:00:00 diverTimes:6 涨幅:8.1% 流通市值:19.57亿,
name:日月明 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:6.48% 流通市值:18.29亿,
name:冠农股份 日期:2023/10/17 0:00:00 diverTimes:9 涨幅:3.83% 流通市值:70.78亿,
name:华瑞股份 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:15.88% 流通市值:18.49亿,
name:石英股份 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:2.73% 流通市值:308.39亿,
name:长荣股份 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:15.32% 流通市值:20.5亿,
name:梅轮电梯 日期:2023/10/17 0:00:00 diverTimes:6 涨幅:17.31% 流通市值:26.03亿,
name:研奥股份 日期:2023/10/17 0:00:00 diverTimes:6 涨幅:14.34% 流通市值:8.56亿,
name:金沃股份 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:18.8% 流通市值:7.68亿,
name:龙高股份 日期:2023/10/17 0:00:00 diverTimes:7 涨幅:97.37% 流通市值:14.29亿,
name:彩蝶实业 日期:2023/10/16 0:00:00 diverTimes:6 涨幅:22.51% 流通市值:6.04亿,
name:冀凯股份 日期:2023/10/16 0:00:00 diverTimes:6 涨幅:24.02% 流通市值:24.31亿,
name:中国科传 日期:2023/10/16 0:00:00 diverTimes:6 涨幅:19.75% 流通市值:237.55亿,
name:天域生态 日期:2023/10/16 0:00:00 diverTimes:6 涨幅:15.7% 流通市值:21.67亿,
name:瑞普生物 日期:2023/10/16 0:00:00 diverTimes:6 涨幅:0.57% 流通市值:57.8亿,
name:海通发展 日期:2023/10/16 0:00:00 diverTimes:6 涨幅:9.19% 流通市值:10.07亿,
name:中远海能 日期:2023/10/13 0:00:00 diverTimes:7 涨幅:16.13% 流通市值:457.98亿,
name:招商南油 日期:2023/10/12 0:00:00 diverTimes:7 涨幅:4.06% 流通市值:137.82亿,
name:哈投股份 日期:2023/10/12 0:00:00 diverTimes:7 涨幅:17.34% 流通市值:120.05亿,
name:上港集团 日期:2023/10/12 0:00:00 diverTimes:6 涨幅:1.18% 流通市值:1165.64亿,
name:西安银行 日期:2023/10/12 0:00:00 diverTimes:6 涨幅:1.39% 流通市值:115.17亿,
name:苏农银行 日期:2023/10/12 0:00:00 diverTimes:7 涨幅:0.92% 流通市值:64.99亿,
name:张家港行 日期:2023/10/12 0:00:00 diverTimes:7 涨幅:1.14% 流通市值:82.81亿,
name:苏泊尔 日期:2023/10/12 0:00:00 diverTimes:8 涨幅:15.8% 流通市值:427.67亿,
name:江阴银行 日期:2023/10/12 0:00:00 diverTimes:7 涨幅:1.07% 流通市值:78.09亿,
name:贵州茅台 日期:2023/10/11 0:00:00 diverTimes:6 涨幅:4.02% 流通市值:22112.6亿,
name:浦发银行 日期:2023/10/11 0:00:00 diverTimes:6 涨幅:2.14% 流通市值:2010.62亿,
name:好莱客 日期:2023/10/11 0:00:00 diverTimes:8 涨幅:13.47% 流通市值:34.46亿,
name:双塔食品 日期:2023/10/10 0:00:00 diverTimes:7 涨幅:14.52% 流通市值:54.34亿,
name:徐工机械 日期:2023/10/9 0:00:00 diverTimes:7 涨幅:0.47% 流通市值:451.16亿,
name:宝钢股份 日期:2023/10/9 0:00:00 diverTimes:6 涨幅:6.3% 流通市值:1366.12亿,
name:盘江股份 日期:2023/9/28 0:00:00 diverTimes:6 涨幅:4.86% 流通市值:138.46亿,
name:罗平锌电 日期:2023/9/28 0:00:00 diverTimes:7 涨幅:10.93% 流通市值:23.35亿,
name:金能科技 日期:2023/9/28 0:00:00 diverTimes:7 涨幅:3.59% 流通市值:72.25亿,
name:沈阳化工 日期:2023/9/28 0:00:00 diverTimes:6 涨幅:5.11% 流通市值:33.39亿,
name:四川黄金 日期:2023/9/28 0:00:00 diverTimes:9 涨幅:11.73% 流通市值:17.2亿,
name:山西焦化 日期:2023/9/27 0:00:00 diverTimes:6 涨幅:7.91% 流通市值:134.51亿,
name:飞凯材料 日期:2023/9/22 0:00:00 diverTimes:6 涨幅:27.12% 流通市值:92.37亿,
name:格尔软件 日期:2023/9/22 0:00:00 diverTimes:9 涨幅:24.88% 流通市值:33.74亿,
name:集智股份 日期:2023/9/22 0:00:00 diverTimes:7 涨幅:7.27% 流通市值:23.38亿,
name:百川股份 日期:2023/9/22 0:00:00 diverTimes:7 涨幅:10.36% 流通市值:35.99亿,
name:新余国科 日期:2023/9/22 0:00:00 diverTimes:9 涨幅:15.58% 流通市值:60.24亿,
name:环球印务 日期:2023/9/22 0:00:00 diverTimes:7 涨幅:10.52% 流通市值:35.46亿,
name:中国卫通 日期:2023/9/21 0:00:00 diverTimes:6 涨幅:24.65% 流通市值:765.46亿,
name:科蓝软件 日期:2023/9/21 0:00:00 diverTimes:8 涨幅:32.64% 流通市值:62.21亿,
name:航天电子 日期:2023/9/21 0:00:00 diverTimes:6 涨幅:13.51% 流通市值:213.19亿,
